,정류소번호,정류소명,X좌표,Y좌표,자치구
266,01725,종로5가.3번출구,127.0020898456,37.5714192458,종로구
267,01727,인사동들머리.3.1독립선언터,126.983296967,37.5719470235,종로구
268,01728,정독도서관,126.98020074940001,37.580191528,종로구
269,01729,오거리.한옥마을입구,126.9697392663,37.5794684375,종로구
270,01732,밀알기도원,126.97574387610001,37.6163963984,종로구
271,01733,창경궁.고궁호텔.메이플레이스호텔,126.99744921690001,37.5765581609,종로구
272,01762,광화문,126.9738331615,37.5703260433,종로구
273,01763,종로1가,126.980129,37.570370000000004,종로구
274,01766,종로2가,126.98557513780001,37.5699685262,종로구
275,01767,종로3가,126.99315531180001,37.5705896376,종로구
276,01768,종로3가,126.99099321860001,37.570102425500004,종로구
277,01769,종로4가,126.99687999049999,37.5704208133,종로구
278,01771,동대문종합시장종로6가,127.0032060634,37.5707920608,종로구
279,01776,종로도서관,126.96712515979999,37.5764842271,종로구
280,01777,경복궁역,126.97150564479999,37.5761780936,종로구
281,01778,경복궁역,126.971315603,37.5757554359,종로구
282,01779,안국역,126.985229602,37.5766137515,종로구
283,01780,안국역,126.98550598290001,37.5763185096,종로구
284,01781,창덕궁,126.9887919183,37.577527902199996,종로구
285,01782,성대입구,126.9997033431,37.5835875947,종로구
286,01790,종로사우나,126.9877503526,37.5738011149,종로구
287,01791,엄마분식,126.9557163281,37.6012424257,종로구
288,01792,삼청파출소,126.98132581979999,37.58164517,종로구
289,01793,통인시장.종로구보건소,126.96875047969999,37.5803350289,종로구
290,01794,종로5가역,127.0000249058,37.570671358,종로구
291,01795,평창공원지킴터입구,126.97704744229999,37.6172373713,종로구
292,01796,배화여중고,126.96781567049999,37.5767556306,종로구
293,01797,대학로입구.이화사거리,127.0025801998,37.5759841652,종로구
294,01798,운현궁,126.98698138030001,37.5752716136,종로구
295,01799,상명대입구,126.9569583018,37.6000210109,종로구
296,01800,삼청동주민센터,126.98221051510001,37.5846846831,종로구
297,01801,박노수미술관,126.9668944502,37.5810265604,종로구
298,01802,명동의류,126.97836854360001,37.616304998000004,종로구
299,01803,사직동주민센터,126.96890390950001,37.5762206893,종로구
300,01804,충신시장,127.00540487399999,37.5749766498,종로구
301,01805,안국역2번출구앞,126.98611832719999,37.5771728174,종로구
302,01807,금융연수원,126.981847891,37.5858776706,종로구
303,01809,감람산기도원,126.9798729651,37.6159439291,종로구
304,01810,카센터.터널앞,126.96585932,37.5741644592,종로구
305,01812,재동초등학교,126.9853617134,37.578791085,종로구
